ad_id,campaign,ad_spend,impressions,date,clicks,ctr,conversions,cpc
0,Conversions,352.0992398696751,36631,2023-01-01 00:00:00,1115,0.030438699462204143,4,0.3157840716319956
1,Traffic,272.68721950861897,44461,2023-01-01 01:00:00,3794,0.08533321337801669,4,0.07187327873184475
2,Brand_Awareness,161.6685319803006,27523,2023-01-01 02:00:00,967,0.03513425135341351,7,0.16718565871799443
3,Conversions,408.75955965640486,32348,2023-01-01 03:00:00,2195,0.06785581797947322,6,0.18622303401202955
4,Conversions,345.51827455140085,2177,2023-01-01 04:00:00,157,0.07211759301791457,8,2.2007533410917253
5,Traffic,89.68230027899673,5760,2023-01-01 05:00:00,323,0.05607638888888889,4,0.27765418043033047
6,Brand_Awareness,456.3543204019828,33779,2023-01-01 06:00:00,1265,0.03744930282127949,3,0.3607544034798283
7,Brand_Awareness,413.0432490323528,22636,2023-01-01 07:00:00,659,0.02911291747658597,0,0.6267727602918859
8,Conversions,475.40195751304276,17353,2023-01-01 08:00:00,225,0.012966057742177146,4,2.112897588946857
9,Retargeting,365.6025591102964,12556,2023-01-01 09:00:00,469,0.03735266008282893,1,0.7795363733695019
10,Conversions,310.573446008537,28598,2023-01-01 10:00:00,1967,0.06878103363871599,4,0.1578919400145079
11,Conversions,214.93908778240325,12563,2023-01-01 11:00:00,1186,0.0944042028177983,3,0.18123025951298757
12,Conversions,467.0369568434665,47819,2023-01-01 12:00:00,4227,0.0883958259269328,5,0.11048898908054566
13,Conversions,434.3713058552001,44790,2023-01-01 13:00:00,3535,0.07892386693458361,6,0.1228773142447525
14,Traffic,32.157148352032806,9234,2023-01-01 14:00:00,747,0.08089668615984405,6,0.04304839136818314
15,Brand_Awareness,22.919817503653483,26519,2023-01-01 15:00:00,1852,0.06983672084166069,4,0.012375711395061276
16,Traffic,194.4670497702443,27966,2023-01-01 16:00:00,934,0.033397697203747405,4,0.2082088327304543
17,Traffic,407.17113208309814,17173,2023-01-01 17:00:00,1573,0.09159727479182438,5,0.2588500521825163
18,Traffic,493.7653033643228,27987,2023-01-01 18:00:00,1969,0.07035409297173688,1,0.2507695801748719
19,Conversions,83.7042766407288,14178,2023-01-01 19:00:00,856,0.060375229228382,9,0.09778536990739346
20,Retargeting,301.1240505225462,40338,2023-01-01 20:00:00,806,0.019981159204720114,7,0.37360304035055364
21,Brand_Awareness,196.63651974920054,25596,2023-01-01 21:00:00,1285,0.050203156743241134,5,0.15302452898770472
22,Retargeting,485.25805492915555,34174,2023-01-01 22:00:00,1757,0.051413355182302334,4,0.27618557480316197
23,Traffic,422.63827233649727,42974,2023-01-01 23:00:00,3773,0.0877972727695816,5,0.11201650472740453
24,Traffic,420.7810653084575,5431,2023-01-02 00:00:00,321,0.05910513717547413,4,1.3108444402132633
25,Retargeting,239.65964829953543,28764,2023-01-02 01:00:00,1272,0.04422194409678765,1,0.18841167319145868
26,Retargeting,213.26155614545593,22627,2023-01-02 02:00:00,2215,0.09789189905864674,3,0.09628061225528484
27,Retargeting,143.96946524604604,40310,2023-01-02 03:00:00,804,0.019945422971967254,7,0.1790664990622463
